Bureau,Gender,Grade,Title,Name,YearsService
International Information Programs (IIP),female,N/A,Analyst,Lorraine Siddoway    ,16
Energy Resources (ENR),male,N/A,Team Member,  Hans Resh,11
Conflict and Stabilization Operations (CSO),male,N/A,Manager, Mark Healy    ,12
Conflict and Stabilization Operations (CSO),female,FS-5,Analyst, Debroah Brummett  ,9
Foreign Missions (OFM),male,N/A,Team Member,Milan ,5
Diplomatic Security (DS),female,FS-8,Team Member,Sharon Unger,17
Information Resource Management (IRM),male,GS-11,Analyst,     John Rodgers,17
Energy Resources (ENR),female,FS-7,Team Member,Fleta Seevers,12
Legal Adviser (L),female,GS15,Manager,Rose Whitecotton    ,2
Mission to the United Nations (USUN),male,N/A,Team Member,     Walter Knop,3
Public Affairs (PA),female,GS-14,Manager,  Traci Shankle,13
East Asian and Pacific Affairs (EAP),female,FS-3,Mgmt,  Martha Llewellyn,17
Foreign Missions (OFM),male,GS-13,Team Member,     Julian Pelter,1
Global Engagement Center(GEC),female,FS-4,Team Member,Tonya Jones,3
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,Team Member,  Virginia Clarke,2
Science & Technology Adviser (STAS),female,N/A,Manager,Mary Benson,2
Foreign Missions (OFM),male,GS-8,Team Member, Arnold Utz   ,13
Human Resources (DGHR),male,FS-4,Team Member,     George Lyndon   ,1
Quadrennial Diplomacy and Development Review (QDDR),female,FS-5,Team Member,Shawna Montford    ,4
Mission to the United Nations (USUN),female,GS-15,Manager,Julia Carter,8
Global Youth Issues (GYI),male,FS-3,Mgmt,Dennis Jewell,22
Public Affairs (PA),male,FS-3,Manager,Richard Gibson,11
International Organization Affairs (IO),female,GS-7,Analyst,Maria Collis  ,23
Trafficking in Persons (TIP),male,GS-14,Manager,Brian Rollins   ,10
Conflict and Stabilization Operations (CSO),male,FS-6,Team Member,Lafferty,4
Energy Resources (ENR),female,N/A,Manager,Georgie Johnson,8
Executive Secretariat (S/ES),female,FS-7,Analyst,Elizabeth Gonzales,20
Budget and Planning (BP),male,GS-13,Manager,Robert Bailey,8
Science & Technology Adviser (STAS),male,FS-3,Mgmt, William Aguilera  ,18
International Security and Nonproliferation (ISN),female,GS-13,Team Member,Williams,11
Global Youth Issues (GYI),male,FS-1,Manager,Stracke,19
International Organization Affairs (IO),male,FS-1,Manager, Richard Abram,25
Conflict and Stabilization Operations (CSO),male,FS 1,Manager,Dennis Kennedy  ,5
Administration (A),male,FS-6,Team Member,   Steven Walton,16
Budget and Planning (BP),female,N/A,Manager,Turnage  ,22
International Information Programs (IIP),female,GS15,Manager,Curiel,25
International Narcotics and Law Enforcement Affairs (INL),male,FS 7,Team Member,Robert Pope,19
Budget and Planning (BP),male,N/A,Manager,Robert Fulton,6
Executive Secretariat (S/ES),female,N/A,Mgmt,Marx     ,6
International Information Programs (IIP),male,N/A,Manager,Jose Jordan ,24
Human Resources (DGHR),male,SFS4,Executive,Daniel Bloomer,25
Policy Planning Staff (S/P),female,GS-14,Mgmt,  Susan Parham    ,2
Administration (A),male,FS-3,Manager,   Dan,24
Consular Affairs (CA),female,FS 8,Team Member,Ellie Axelson,18
Human Resources (DGHR),female,FS-7,Team Member,Leona Smith,17
Legal Adviser (L),male,FS-5,Team Member,     Steve Randle,11
South and Central Asian Affairs (SCA),female,N/A,Manager,Jessica Flott ,21
Intelligence and Research (INR),male,GS-15,Manager,    Herbert Goshorn,22
Budget and Planning (BP),male,FS-2,Manager,Leonard Gentry,15
European and Eurasian Affairs (EUR),female,FS-5,Team Member,Michelle Kook   ,21
Educational and Cultural Affairs (ECA),male,GS 8,Team Member, Louis Gentles     ,22
Economic and Business Affairs (EB),male,FS-7,Team Member,  Scungio ,17
Medical Services (MED),male,FS-9,Team Member,Robert Mcnamara,19
Mission to the United Nations (USUN),male,N/A,Manager,     Eddie Fish,25
Comptroller and Global Financial Services (CGFS),female,FS-6,Team Member,    Beverly Perez     ,3
Human Resources (DGHR),male,GS-13,Manager,Steven Baseler    ,10
Chief Information Officer (CIO),female,FS-2,Manager,     Buffy Love,11
Allowances (A/OPR/ALS),female,GS-13,Analyst,  Monique Seidlitz,9
Human Resources (DGHR),female,GS 7,Team Member,    Johanna Gregg,19
Inspector General (OIG),male,FS-8,Team Member,   Peter Mickelson    ,23
Legal Adviser (L),female,N/A,Manager,Linda Patrick,10
Inspector General (OIG),male,GS-14,Manager,Juan Atkins,11
Administration (A),male,FS-6,Team Member,Robert Miller     ,17
Information Resource Management (IRM),female,SES-3,Executive,   Judith Colon    ,23
Counterterrorism (CT),male,FS1,Manager,Santiago Lopez,15
Science & Technology Adviser (STAS),male,FS-1,Manager,Perry Valot,23
Consular Affairs (CA),female,FS-8,Team Member,Sheila Mclawhorn     ,1
Trafficking in Persons (TIP),female,N/A,Team Member, Daisy Bebee,17
East Asian and Pacific Affairs (EAP),female,FS-4,Team Member, Perry,15
International Organization Affairs (IO),female,N/A,Team Member,    Ruth Dickerson,20
Public Affairs (PA),male,FS-8,Analyst,   Chris Holder,17
Human Resources (DGHR),female,FS 4,Team Member,Constance Jones   ,7
Trafficking in Persons (TIP),female,N/A,Team Member,     Kimberly Stroud,14
Counterterrorism (CT),female,GS-8,Team Member,Lynnette Williamson,19
Allowances (A/OPR/ALS),male,FS-7,Team Member,Joe Havel    ,1
Protocol (S/CPR),female,FS-1,Manager,Kathy Womble,10
"Democracy, Human Rights, and Labor (DRL)",female,GS-12,Analyst,Lucy Ellison,1
Counterterrorism (CT),female,FS-5,Team Member,Estella Peterson     ,9
Protocol (S/CPR),male,N/A,Team Member,  Christopher Gilbert,1
"Population, Refugees, and Migration (PRM)",male,FS-1,Manager,Thomas Rothermel     ,3
Intelligence and Research (INR),male,N/A,Team Member,Daniels,2
Mission to the United Nations (USUN),female,FS-6,Team Member,Nancy Barnes,2
Administration (A),female,FS-6,Team Member,   Anita Briggs,14
Global Youth Issues (GYI),female,FS7,Team Member,Phuong Pellicone,12
Oceans and International Environmental and Scientific Affairs(OES),female,GS-12,Team Member,Cheri Baer ,7
Administration (A),male,GS-12,Team Member,  Mark Maske,24
Global Youth Issues (GYI),female,GS-14,Manager,  Mary Salas  ,19
"Democracy, Human Rights, and Labor (DRL)",male,GS-13,Manager,     Brandon Kornbluth,18
Protocol (S/CPR),female,FS-5,Team Member,Joan Mitchell,13
Legislative Affairs (H),female,GS 15,Manager,     Rebecca Heflin,20
Medical Services (MED),female,N/A,Team Member,Patsy Lytell,19
Counterterrorism (CT),male,FS-9,Team Member,     Hector Principato,25
Administration (A),female,FS-7,Team Member, June Ray,19
Counterterrorism (CT),female,FS-8,Team Member,Cheryl Corrigan,15
Conflict and Stabilization Operations (CSO),female,FS6,Team Member,    Sheila Martinez ,16
Diplomatic Security (DS),female,GS-13,Manager,Paris Harris   ,13
Inspector General (OIG),male,FS 8,Team Member,Enrique Hernandez,23
South and Central Asian Affairs (SCA),female,FS-9,Team Member,Dorothy Stancil,14
Trafficking in Persons (TIP),female,GS-13,Team Member,Tara Jenkins,15
Consular Affairs (CA),female,FS-8,Team Member,    Cheryl Petri,2
"Democracy, Human Rights, and Labor (DRL)",male,FS-6,Analyst,Michael Ingole,21
Medical Services (MED),male,N/A,Team Member,Vincent Hendershot,7
International Security and Nonproliferation (ISN),male,GS-8,Team Member,Phillip Courter     ,11
"Democracy, Human Rights, and Labor (DRL)",female,FS-4,Team Member,   Louise Kolinski    ,12
Conflict and Stabilization Operations (CSO),female,GS-10,Team Member,Kara Lehnortt,8
Inspector General (OIG),female,GS-10,Team Member,   Jeanette Lewis  ,19
Legal Adviser (L),female,FS-3,Mgmt,Sandoval,16
Science & Technology Adviser (STAS),female,GS-13,Mgmt,Beidleman,25
Comptroller and Global Financial Services (CGFS),male,FS-5,Team Member, Robert Overman,25
Educational and Cultural Affairs (ECA),male,FS-4,Team Member,  Justin Hough,13
International Information Programs (IIP),male,FS3,Manager,Franklin Deakins ,19
Mission to the United Nations (USUN),female,FS-7,Team Member,Shelly Thompson,2
Global Youth Issues (GYI),male,N/A,Team Member,Thomas Judd,5
Protocol (S/CPR),male,GS-15,Manager,Mcginnis,6
Information Resource Management (IRM),female,FS-8,Team Member,    Chantay Fritz,11
Science & Technology Adviser (STAS),female,FS-6,Analyst,Tamara Hanley   ,5
Inspector General (OIG),female,GS-11,Analyst,Mary Elmer    ,1
Mission to the United Nations (USUN),male,N/A,Manager,    Lawrence Mcpherson,24
Economic and Business Affairs (EB),male,FS-1,Manager,Brandon Dias  ,6
Legislative Affairs (H),male,N/A,Team Member,Clarence Stephens    ,8
Energy Resources (ENR),male,FS-2,Manager,Harry Orr,9
Foreign Service Institute (FSI),female,GS-7,Team Member,Carolina Henderson,12
Protocol (S/CPR),female,FS-3,Manager,Hughes,19
Policy Planning Staff (S/P),male,FS8,Team Member,     Glen Rivera     ,17
"Democracy, Human Rights, and Labor (DRL)",male,FS-9,Team Member,Leo Bridges ,15
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-14,Manager,Lula Munter    ,9
Policy Planning Staff (S/P),female,GS-14,Mgmt,Halfmann,19
Overseas Buildings Operations (OBO),male,N/A,Team Member,Arnold Henry,7
"Population, Refugees, and Migration (PRM)",female,FS-1,Mgmt, Brandy Brown,21
Conflict and Stabilization Operations (CSO),female,FS-8,Team Member,Rebecca Pawlowski,10
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS 11,Team Member,Campbell ,12
Counterterrorism (CT),female,N/A,Team Member,     Celeste Crawford,20
Foreign Service Institute (FSI),male,FS-5,Team Member,Joel Hart ,4
Inspector General (OIG),female,N/A,Manager,Quivers,8
Consular Affairs (CA),female,GS-13,Team Member,Mary Whelan,18
Medical Services (MED),male,FS-5,Team Member,    Joseph Spalla,20
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,FS-6,Team Member,Frederick Doyle,21
International Narcotics and Law Enforcement Affairs (INL),female,FS-3,Manager,Elizabeth Gardin,13
Legislative Affairs (H),female,FS-9,Team Member,   Candice Brookhart,6
Oceans and International Environmental and Scientific Affairs(OES),female,FS-1,Manager,Wilson    ,2
Intelligence and Research (INR),female,FS-7,Team Member,    Teresa Rivera,18
Administration (A),female,GS-10,Team Member,Leta Batson     ,9
International Organization Affairs (IO),female,N/A,Manager,Jane Shaffer ,25
Budget and Planning (BP),male,FS-1,Manager,Robert Sproul,24
Administration (A),male,GS-9,Team Member,Timothy Bankard,19
Science & Technology Adviser (STAS),male,N/A,Team Member,   Eugene Tanner,19
Policy Planning Staff (S/P),female,FS-6,Team Member,Johnnie Williams ,16
"Democracy, Human Rights, and Labor (DRL)",female,GS-7,Team Member,Colter  ,12
Near Eastern Affairs (NEA),male,FS5,Team Member,Sims,10
Medical Services (MED),male,N/A,Team Member,Edgar Lee    ,1
Administration (A),male,N/A,Mgmt,    Richard Olson ,22
Diplomatic Security (DS),female,GS-12,Team Member,Kelly Gardner,16
Medical Services (MED),female,GS 15,Manager,Norma Mendez,19
"Democracy, Human Rights, and Labor (DRL)",female,GS-7,Team Member,Leah Ellman,8
Economic and Business Affairs (EB),male,N/A,Manager,Ralph Blanco,3
Legislative Affairs (H),female,FS-7,Team Member,    Elease Alberding,10
Policy Planning Staff (S/P),male,FS 2,Manager,Tristan Davis,6
Human Resources (DGHR),male,N/A,Manager,  James Gonzales  ,25
Trafficking in Persons (TIP),female,N/A,Team Member,  Tammy Flood,16
East Asian and Pacific Affairs (EAP),male,FS-9,Team Member, Joseph Wiley,22
Intelligence and Research (INR),female,FS-2,Manager,Dixon,15
Counterterrorism (CT),female,FS-7,Team Member,Susan Felberbaum,20
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS3,Mgmt,Joe Frederick ,10
Consular Affairs (CA),male,GS-7,Team Member,Robert Rivard    ,11
African Affairs (AF),female,GS-13,Manager,Miranda     ,11
International Information Programs (IIP),male,FS-9,Team Member,Napoleon Ross,2
Comptroller and Global Financial Services (CGFS),male,FS-8,Team Member,  Philip Clare,13
Inspector General (OIG),female,FS-6,Analyst,Suzanne Hansen,23
"Democracy, Human Rights, and Labor (DRL)",female,FS-6,Team Member,Rebecca Mcclallen,12
Conflict and Stabilization Operations (CSO),female,N/A,Analyst, Hilary Meza,20
Intelligence and Research (INR),female,GS-14,Manager,Latoya Robinson    ,7
Western Hemisphere Affairs (WHA),female,FS-7,Team Member,Rosemary Munoz  ,23
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-8,Team Member,     Elisa Leo,13
Protocol (S/CPR),male,GS-13,Manager,Jeffrey Deleon,3
International Information Programs (IIP),male,FS-8,Team Member,Jason Bryan,15
"Management Policy, Rightsizing and Innovation (PRI)",male,N/A,Analyst,  Cody Dumas,20
Economic and Business Affairs (EB),male,GS14,Manager,David Ruff ,10
Mission to the United Nations (USUN),male,GS-14,Manager,Shelby Obrien  ,8
Global AIDS Coordinator (S/GAC),male,N/A,Manager,     David Dickson   ,18
Counterterrorism (CT),male,N/A,Analyst,   Phillip Turbeville   ,9
Medical Services (MED),male,GS-9,Team Member,Robert Goldner ,5
Legislative Affairs (H),male,FS-2,Manager, Anthony Lyon,23
Inspector General (OIG),male,FS-9,Team Member,    Aggas,25
Comptroller and Global Financial Services (CGFS),male,GS-13,Team Member,James Golliday,12
Inspector General (OIG),male,GS-14,Manager,Melvin Brown,19
Public Affairs (PA),male,FS3,Manager,Hampton  ,25
"Arms Control, Verification and Compliance (AVC)",male,FS-8,Team Member,Charles Perry,13
Foreign Missions (OFM),female,GS-14,Manager,Jo Ermitanio,1
Consular Affairs (CA),female,N/A,Team Member,  Vargas,10
Counterterrorism (CT),male,N/A,Team Member,Louis Jeffers,11
Medical Services (MED),female,GS 8,Team Member,Sylvia Stgermain,19
Economic and Business Affairs (EB),female,N/A,Manager,Mary Mccormick   ,21
"Democracy, Human Rights, and Labor (DRL)",female,FS-4,Team Member,Alvina Garry,4
Comptroller and Global Financial Services (CGFS),female,GS-10,Team Member, Julie Shuffler,9
Energy Resources (ENR),male,GS-10,Team Member,   Lucien Friedman,1
Legislative Affairs (H),male,FS-3,Mgmt,     Gravina    ,18
Legal Adviser (L),female,FS 6,Team Member,Betty Padilla,10
Conflict and Stabilization Operations (CSO),female,FS-1,Manager,Patricia Adderley,4
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Manager,Richard Sprayberry    ,19
International Security and Nonproliferation (ISN),male,N/A,Team Member,Paul Rodriquez,4
Economic and Business Affairs (EB),female,GS-14,Manager,Monique Kasten,10
International Security and Nonproliferation (ISN),female,FS-9,Team Member,Anne Marvin,8
Trafficking in Persons (TIP),male,FS-8,Team Member,Mason,21
Administration (A),male,GS-10,Team Member,Travis Rangel,6
Energy Resources (ENR),female,FS-5,Team Member,    Marilyn Short  ,2
"Democracy, Human Rights, and Labor (DRL)",female,FS-9,Analyst,Ila Smith,14
Mission to the United Nations (USUN),male,FS-9,Team Member,Ron Banks,18
Mission to the United Nations (USUN),female,FS-3,Manager,Jeanne Penland ,6
International Information Programs (IIP),male,FS-6,Team Member,William Patron,7
Legal Adviser (L),male,N/A,Analyst,Jason Tracey,20
Global Youth Issues (GYI),male,GS14,Manager,William Daniel,19
International Organization Affairs (IO),female,N/A,Team Member,Tressa Truong    ,1
Quadrennial Diplomacy and Development Review (QDDR),female,FS 1,Manager,Andrea Giguere,3
Mission to the United Nations (USUN),male,GS-13,Manager,George Gay   ,14
Energy Resources (ENR),male,GS-15,Manager,Scott Mcconnell,5
Trafficking in Persons (TIP),male,FS-2,Manager,George Bowar,23
Inspector General (OIG),male,SFS-2,Executive,John Kut,21
Global Youth Issues (GYI),male,FS1,Manager,    Michael Lyons,3
Human Resources (DGHR),male,GS-7,Team Member,Brown,11
Inspector General (OIG),female,N/A,Manager,    Lucila Schaeffer,2
Intelligence and Research (INR),male,FS6,Team Member,  Ratliff,24
Near Eastern Affairs (NEA),female,FS 4,Team Member,Brandi Hackney,20
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Mgmt,  Michael Akkerman,25
Western Hemisphere Affairs (WHA),female,GS12,Team Member,Elizabeth Wojcik,4
"Democracy, Human Rights, and Labor (DRL)",female,FS-6,Team Member,   Diane Little   ,10
Administration (A),female,FS-4,Team Member,Berg,4
International Security and Nonproliferation (ISN),male,N/A,Team Member,   Dale Ferguson  ,1
Chief Information Officer (CIO),male,FS-8,Team Member,   Delbert Dyer,17
Mission to the United Nations (USUN),male,GS-15,Manager,    Gary Lindberg,19
International Organization Affairs (IO),male,GS10,Team Member,Fountain,15
Protocol (S/CPR),female,FS-7,Team Member,Noma Chitwood     ,2
Protocol (S/CPR),male,GS-11,Team Member,Andrew Hedger,18
Inspector General (OIG),female,FS-3,Manager,Mary Hines,4
Educational and Cultural Affairs (ECA),female,FS-4,Team Member,    Martha Chavez ,9
Trafficking in Persons (TIP),female,FS-4,Analyst,Maria Heon     ,15
Energy Resources (ENR),male,GS-13,Manager,   Scott Whaley,12
Global AIDS Coordinator (S/GAC),female,N/A,Manager,Wendy Crate,13
Inspector General (OIG),male,FS3,Manager,Andrus,7
International Information Programs (IIP),male,FS-8,Team Member,Kendrick Condrey,10
Consular Affairs (CA),female,FS9,Team Member,     Matheson   ,6
Protocol (S/CPR),male,FS-8,Team Member,Ronnie Demarco,9
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Manager,  Hancock,14
Executive Secretariat (S/ES),male,FS-6,Team Member,    Christopher Schoolfield,2
Foreign Missions (OFM),male,N/A,Team Member,Craghead,21
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,Michael Bowman,12
International Information Programs (IIP),female,GS-7,Team Member,Katrina Mitkowski,14
Executive Secretariat (S/ES),female,FS-4,Team Member,Molly Kaune,8
Mission to the United Nations (USUN),female,GS-13,Team Member,Emma Gonzalez,24
Legal Adviser (L),female,FS-8,Team Member,Betty Frede,23
Trafficking in Persons (TIP),male,SES-1,Executive,Walter Burris ,20
Science & Technology Adviser (STAS),female,FS-9,Team Member,Emely Lozano,2
Foreign Missions (OFM),male,FS-8,Team Member,Brett Ruff  ,7
Foreign Assistance (F),male,FS-3,Mgmt,John Law,23
Policy Planning Staff (S/P),male,GS 15,Manager,Juan Garcia,20
Educational and Cultural Affairs (ECA),male,N/A,Team Member,Christopher Johnson,9
"Population, Refugees, and Migration (PRM)",female,FS-8,Team Member,Anna King     ,13
"Democracy, Human Rights, and Labor (DRL)",male,GS-10,Team Member,Lee Mccleary,22
Chief Information Officer (CIO),male,FS-6,Team Member,Darrell Hogan    ,5
Executive Secretariat (S/ES),female,FS-4,Analyst,     Katherine Williams,16
International Narcotics and Law Enforcement Affairs (INL),male,FS-8,Team Member,Geoffrey Simar    ,8
Legal Adviser (L),female,GS-13,Manager,Colbert,11
Counterterrorism (CT),female,N/A,Team Member,Mira Derose,14
Budget and Planning (BP),female,FS-4,Team Member,Monica Little,22
Energy Resources (ENR),male,FS-2,Manager, Joseph Higgins,5
Administration (A),male,GS-13,Manager,Ronald Catron,19
Mission to the United Nations (USUN),male,FS-5,Team Member,George Gaudet,21
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-5,Team Member,Marion Benoist,22
Public Affairs (PA),female,GS-15,Manager,Reyes    ,9
Medical Services (MED),male,N/A,Team Member,Gail Baridon,5
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-13,Manager,Lois Phillips,14
Energy Resources (ENR),female,FS6,Team Member,Hazelwood ,7
Mission to the United Nations (USUN),female,FS-9,Team Member,Deedee Foote,8
Policy Planning Staff (S/P),female,GS12,Team Member,Kim Heard,5
Administration (A),male,GS9,Team Member,Thomas Bagley,20
Mission to the United Nations (USUN),female,GS-15,Manager,Debbie Mccoy,21
Information Resource Management (IRM),female,GS-11,Team Member,Allyson Fortier  ,5
Science & Technology Adviser (STAS),male,GS10,Team Member,Filthaut,12
Protocol (S/CPR),male,FS-4,Team Member,Stephan Correla ,17
Inspector General (OIG),male,FS-1,Manager,   Jack Morgan,17
South and Central Asian Affairs (SCA),female,FS-7,Team Member,Jennifer Coar,19
Budget and Planning (BP),female,FS-5,Team Member,Eleanor Beaudion,4
Administration (A),female,SES-3,Executive,  Natasha Boling    ,24
Political-Military Affairs (PM),male,GS-9,Team Member,Nick Bush,6
Oceans and International Environmental and Scientific Affairs(OES),male,FS1,Manager,Phillip Shiroma,14
"Democracy, Human Rights, and Labor (DRL)",male,GS 8,Team Member,  Richard Martinez,13
Foreign Service Institute (FSI),female,GS10,Team Member,Isabel Westerberg,19
Comptroller and Global Financial Services (CGFS),female,GS-11,Team Member,Heather Correa  ,24
Public Affairs (PA),female,FS-6,Team Member, Katie Seeley    ,8
Energy Resources (ENR),male,FS-7,Team Member,Jeremy Richardson,19
Educational and Cultural Affairs (ECA),female,GS-12,Team Member, Lindsay Heltzel  ,11
Protocol (S/CPR),female,FS-4,Team Member,Patricia Calles,20
Counterterrorism (CT),female,FS-5,Team Member,Ruth Studer     ,7
Allowances (A/OPR/ALS),male,GS-12,Team Member,Ralph Hill,13
Inspector General (OIG),male,FS-1,Manager,Steve Laplante,19
South and Central Asian Affairs (SCA),male,N/A,Team Member,William Dougher,17
Energy Resources (ENR),male,N/A,Manager, Nicholas Brownie,11
Human Resources (DGHR),female,N/A,Team Member,Shakira Peters,16
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Manager,Jamie Valley,20
Inspector General (OIG),female,FS-7,Team Member,    Caesar,23
Policy Planning Staff (S/P),male,FS-3,Manager,  Mark Sheeley,24
Medical Services (MED),female,FS-7,Team Member,Wendy Rhyner,1
Educational and Cultural Affairs (ECA),female,N/A,Team Member,Joan Hansen   ,16
Comptroller and Global Financial Services (CGFS),female,FS 5,Team Member,Scott     ,10
Information Resource Management (IRM),male,FS-7,Team Member, Roberts    ,17
Administration (A),female,N/A,Team Member,Laura Shaughnessy,6
Educational and Cultural Affairs (ECA),male,GS-7,Team Member,Dan Oconnor,16
European and Eurasian Affairs (EUR),female,N/A,Mgmt,Ana Chapple  ,25
Executive Secretariat (S/ES),female,SES-3,Executive,Jennifer Powless  ,22
International Organization Affairs (IO),male,GS-12,Analyst, Simon Adkerson,9
Protocol (S/CPR),male,FS-2,Mgmt,Gregory Dewoody     ,17
Overseas Buildings Operations (OBO),male,FS-3,Manager,     Forrest Hudson   ,22
Policy Planning Staff (S/P),male,GS-14,Manager,   John Fitzgerald,18
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-2,Manager,Joanne Gattis,2
Quadrennial Diplomacy and Development Review (QDDR),female,FS-7,Team Member,   Cathy Dechant,10
Intelligence and Research (INR),female,GS14,Manager,Jenifer Brummer,23
Medical Services (MED),female,N/A,Team Member,Pauline Mcclintic,18
International Security and Nonproliferation (ISN),female,FS 7,Team Member,Melody Willis,4
Science & Technology Adviser (STAS),female,FS 8,Team Member,Phyllis Chauez,11
Inspector General (OIG),female,GS-13,Team Member,Evelyn Wingate,12
Human Resources (DGHR),male,N/A,Team Member,Dominguez,11
Administration (A),male,FS-1,Manager,William Danley,12
Human Resources (DGHR),male,GS-13,Team Member,Alexander Pittman,17
Medical Services (MED),male,FS-7,Team Member,   Kyle Mckie   ,15
Medical Services (MED),female,FS-5,Analyst,  Joann Trosper,8
"Democracy, Human Rights, and Labor (DRL)",male,GS-11,Team Member,Albert Corley,22
Human Resources (DGHR),female,FS-5,Team Member,Kimberly Garrett,6
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,    Ashley Flynn,7
Chief Information Officer (CIO),male,N/A,Manager,Rafael Valasquez,11
Mission to the United Nations (USUN),female,FS-2,Manager, Anna Baugh,2
Political-Military Affairs (PM),female,N/A,Team Member,Patricia Chappell,5
Energy Resources (ENR),male,N/A,Manager,Michael Martinez,10
European and Eurasian Affairs (EUR),female,FS-1,Manager,Swales,9
International Narcotics and Law Enforcement Affairs (INL),female,FS-3,Mgmt,Catherine Jones  ,20
Allowances (A/OPR/ALS),male,GS-7,Team Member,Joshua Henderson,12
Economic and Business Affairs (EB),male,N/A,Team Member,Allen Rice,2
Intelligence and Research (INR),female,N/A,Team Member,    Justa Johnson    ,23
European and Eurasian Affairs (EUR),male,N/A,Manager,David Rains,5
Global Women's Issues (S/GWI),male,N/A,Team Member,Alan Duncan,12
Trafficking in Persons (TIP),male,GS13,Manager,Van Urbina,14
Educational and Cultural Affairs (ECA),female,FS-5,Team Member, Clara Tobin    ,14
Budget and Planning (BP),male,FS-4,Team Member,Robert Dixon    ,1
Economic and Business Affairs (EB),male,N/A,Manager,George Martin   ,21
"Arms Control, Verification and Compliance (AVC)",male,GS-7,Team Member,Joel Decena,18
Administration (A),female,N/A,Manager,Jeanna Howard    ,15
Oceans and International Environmental and Scientific Affairs(OES),male,FS-9,Team Member,Leroy,8
Foreign Missions (OFM),male,N/A,Analyst, Christian Guay,6
Inspector General (OIG),male,FS-6,Team Member,Robert Mcintosh,15
International Information Programs (IIP),male,FS 3,Manager,Juan Johnson,24
Legislative Affairs (H),male,N/A,Manager,Chad Ramey,1
Chief Information Officer (CIO),female,N/A,Manager,Peters,2
Foreign Assistance (F),female,GS-11,Analyst,     Tori Morgan,14
Administration (A),female,FS 4,Team Member,June Jordan    ,6
Medical Services (MED),female,N/A,Team Member,  Jessica Cantrel,11
Administration (A),female,N/A,Manager, Jean Watson    ,6
Energy Resources (ENR),male,FS-1,Manager,Miller   ,2
Medical Services (MED),female,FS-7,Analyst,Sandy Blaize,11
Executive Secretariat (S/ES),male,GS-8,Team Member, Clarence Gonzalez,13
Science & Technology Adviser (STAS),male,N/A,Team Member,Joe Perry ,12
Overseas Buildings Operations (OBO),female,FS-9,Team Member,Kay Laravie,17
Medical Services (MED),female,FS-5,Team Member,Olive Boyd,2
Inspector General (OIG),male,N/A,Analyst,Jesus Jones,24
Legislative Affairs (H),female,FS-7,Team Member,    Rebecca Adamitis,1
South and Central Asian Affairs (SCA),male,FS-4,Team Member,William Herrman,3
International Organization Affairs (IO),male,FS-2,Manager,Troy Scott,24
Trafficking in Persons (TIP),female,GS-13,Manager,   Margaret Brown    ,13
Information Resource Management (IRM),female,FS-7,Team Member,Shirley Charest,25
Mission to the United Nations (USUN),female,GS-10,Team Member,Mary Battles,12
Executive Secretariat (S/ES),male,FS-3,Manager,David Ansari,14
Trafficking in Persons (TIP),female,N/A,Manager,   Monsen     ,16
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Manager,Dewinter  ,13
Medical Services (MED),male,FS-4,Team Member,Howard Trowbridge,9
Inspector General (OIG),female,N/A,Team Member,    Mabel Rucker,25
International Information Programs (IIP),female,FS-7,Team Member,Devorah Acosta  ,20
Foreign Missions (OFM),male,FS-9,Analyst,     Timothy Green,5
Budget and Planning (BP),male,N/A,Team Member,Edward Wales,2
Mission to the United Nations (USUN),male,GS-13,Manager,Jon Reando,15
Medical Services (MED),male,GS-10,Team Member,Douglas Wilson,23
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,Roy Reuter,15
Oceans and International Environmental and Scientific Affairs(OES),female,FS-6,Team Member,  Karen Vail,17
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-7,Analyst,  George Oliver ,11
Conflict and Stabilization Operations (CSO),male,N/A,Team Member,Howard Gilchrist   ,18
International Organization Affairs (IO),female,GS 11,Team Member,     Norah Callaghan ,23
International Narcotics and Law Enforcement Affairs (INL),male,FS3,Manager,   Nick Gonzales,13
Counterterrorism (CT),male,FS 6,Team Member,Christopher Neal     ,1
Overseas Buildings Operations (OBO),male,FS-9,Team Member,Raleigh Klimczyk ,22
Mission to the United Nations (USUN),female,FS3,Manager,Robbie Colon,4
Inspector General (OIG),female,FS-7,Team Member,   Reva Stevens  ,2
Legislative Affairs (H),female,FS2,Manager,     Angela Cheatham,16
