Bureau,Gender,Grade,Name,Skills,YearsService
Conflict and Stabilization Operations (CSO),female,FS-4,    Melissa Brown,"German, Finance, japanese, Healthcare, Economics",6
Policy Planning Staff (S/P),female,FS-1,Carl Gotay ,"Excel, Graphics, Administration, Marketing, French, Outlook, Climatology, chinese",22
Global Women's Issues (S/GWI),male,FS-1,Howard ,"powerpoint, planning, data analysis, Finance, SEO, German",7
Policy Planning Staff (S/P),female,FS-5,Debra Jiminez,"Economics, Sharepoint, Human Resources, Marketing, Hydrology, Foreign Policy, Excel, Administration, Social Media",2
Mission to the United Nations (USUN),female,GS-8,   Teresa Smith,"French, Climatology, Operations, powerpoint, Chinese, Budget",8
Diplomatic Security (DS),male,GS-13,Anthony Hill,"Marketing, Sharepoint, seo, IT",18
Trafficking in Persons (TIP),male,N/A, Howard Stagliano,,20
Comptroller and Global Financial Services (CGFS),female,FS-5,Mercedes Hagerman,"Healthcare, Government, Interagency, Chinese, Sharepoint, German, Email, IT, finance, Writing",17
Legislative Affairs (H),female,FS-8,Emily Stanford,"Japanese, sharepoint, Chinese, Leadership, Marketing, Web Development, Portuguese, Administration, Planning, Design, Operations, Economics",12
Public Affairs (PA),female,GS-11,   Monica Jackson,Economics,25
Educational and Cultural Affairs (ECA),female,FS-2,Oullette,"SEO, Finance, Communications",6
Legislative Affairs (H),male,GS 13,Robert Briggs,"Foreign Policy, research, Economics, Chinese, Planning, outlook",9
Foreign Assistance (F),female,FS-1,Marie Cruz,"writing, Communications, Japanese, Education, Outlook, healthcare",18
Political-Military Affairs (PM),male,N/A,Walter Mitchel,"Operations, research, visualization, Graphics, Human Resources, sharepoint, Climatology, Design",5
Comptroller and Global Financial Services (CGFS),female,GS-14, Gargus ,"Climatology, Marketing, Government, German, Education, french, Sharepoint, Training, Healthcare, Finance, administration",10
Political-Military Affairs (PM),male,FS 6,Arthur Liddy,"IT, Government, Hydrology, Education, powerpoint, Communications, Japanese, Healthcare, email, cloud computing, graphics",6
Educational and Cultural Affairs (ECA),female,GS-11,Josephine Tiffin,"Healthcare, Finance, Economics",2
International Security and Nonproliferation (ISN),female,N/A,Kathy Veal,"French, leadership, hydrology, Cloud Computing, Visualization, web development",24
African Affairs (AF),male,FS-7,Floyd Hinson,"management, Graphics, French, Climatology, cloud computing, Foreign Policy, German, outlook, Chinese, sharepoint",15
Global Youth Issues (GYI),female,SES-5,Susan Hamilton,"Research, communications",19
Conflict and Stabilization Operations (CSO),male,FS-4,Richard Rush,"Finance, Web Development, Graphics, Powerpoint, Outlook, Spanish, human resources, Editing, economics, Education, Interagency, Climatology",6
Inspector General (OIG),male,N/A,Thomas Hunter,,7
Information Resource Management (IRM),female,N/A, Tiffani Seaton ,"Portuguese, IT",14
Conflict and Stabilization Operations (CSO),male,GS 10,Steve Pinkowski ,,10
Allowances (A/OPR/ALS),male,GS-7,    Lee Ohler,Research,21
Information Resource Management (IRM),male,FS-2,   Bradley Pelletier,"Data Analysis, Writing",14
Intelligence and Research (INR),male,N/A,John Presswood,"Healthcare, Data Analysis, writing, Management, Human Resources, Sharepoint, Network Security, Leadership, Chinese, Tourism, Editing, design",6
Protocol (S/CPR),female,GS-10,Lucas  ,"Email, Leadership, excel",5
East Asian and Pacific Affairs (EAP),female,N/A,   Lewis Williams,"healthcare, Leadership, Editing, Education, Disease Response, Finance",24
Intelligence and Research (INR),male,N/A,Eugene Kaufman,"Finance, Network Security, Disease Response, Email, excel, Editing, Data Analysis, French, hydrology, Visualization, Spanish",11
Near Eastern Affairs (NEA),male,GS-14,Ned Outhouse    ,"Climatology, Japanese, Excel, Disease Response, research, Human Resources, sharepoint, Tourism, french, Leadership",20
Diplomatic Security (DS),male,N/A,Todd Damon,"Disease Response, Social Media, Portuguese, Training",8
Administration (A),female,FS-4,Caroline Long,"Research, Excel, it, Engineering, seo, Sharepoint, Spanish",2
Global AIDS Coordinator (S/GAC),female,GS-9,    Louise Ashley,"excel, foreign policy, German",11
Foreign Assistance (F),male,FS-5,Milton Misfeldt,,23
International Information Programs (IIP),female,GS-12,Major,"Interagency, Climatology, Web Development, visualization, Excel, Operations, planning, hydrology",1
East Asian and Pacific Affairs (EAP),male,N/A, Daniel Lor  ,"human resources, Disease Response",11
Energy Resources (ENR),female,GS-9,Carla Gordon,"management, Climatology, Design, SEO, Healthcare, Graphics",17
Global Youth Issues (GYI),female,GS-14,Elizabeth Branscum ,"Portuguese, Training, Interagency, operations, Network Security, engineering",20
Administration (A),male,FS-8,John Beck   ,Healthcare,11
Conflict and Stabilization Operations (CSO),female,N/A, Rosetta Buckley,,23
South and Central Asian Affairs (SCA),male,FS-8, Nick Bennerson,"Economics, Sharepoint, Email, Management, Engineering, Tourism, French, Healthcare, research, Network Security, graphics",21
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-1,     Cash  ,"Social Media, German, Disaster Response, French, Network Security, Marketing, Planning, Finance, Foreign Policy",8
Global Women's Issues (S/GWI),female,FS-5,Lillie Thiele,"SEO, Email",10
Allowances (A/OPR/ALS),male,GS-14,  James Sawicki     ,Powerpoint,3
Public Affairs (PA),male,GS-13,Paul Reed,"Spanish, Chinese, Network Security, engineering, hydrology",14
Overseas Buildings Operations (OBO),female,GS-7,Marianne Marquis  ,Budget,21
Economic and Business Affairs (EB),female,N/A,Chanel Glatt,"German, email, Interagency, Cloud Computing, Economics, Network Security, Social Media, Leadership, Hydrology",21
Global Youth Issues (GYI),female,GS-9,Becky Byrd,"Marketing, Graphics",24
Inspector General (OIG),male,N/A,Ronald Logan  ,"Human Resources, Graphics, German, training, Email, chinese, Leadership, Network Security, Marketing, SEO",12
Economic and Business Affairs (EB),female,GS-11, Sylvia Phillips,,2
Medical Services (MED),male,FS-5,James Knox   ,"visualization, Email",12
Foreign Service Institute (FSI),female,FS 2,Ida Winsor,"Disaster Response, outlook, german, budget, Administration, Government, Research, Excel, Tourism, Management",2
Intelligence and Research (INR),female,N/A,Susie Melgar,"Writing, Planning, Healthcare, Marketing, Cloud Computing, Economics, education, Spanish, Leadership, Data Analysis, Web Development, Portuguese",16
Global Criminal Justice (GCJ),male,FS-1,Robert Pritchett,"IT, Engineering, Powerpoint, Spanish, disease response, Interagency, web development, disaster response, Healthcare, Network Security, portuguese, Planning",21
Near Eastern Affairs (NEA),female,N/A,     Linda Smith,Powerpoint,25
International Information Programs (IIP),male,N/A,   John Hammond    ,"SEO, Hydrology, marketing, Healthcare, Foreign Policy, Management, Interagency, Budget, training, Government, Planning, disease response",19
Medical Services (MED),female,FS-1,    Sabrina Baldwin ,Foreign Policy,2
Global AIDS Coordinator (S/GAC),female,FS-3,Cora Lyons,Tourism,13
European and Eurasian Affairs (EUR),female,SFS-2,Camille Mcgee,"communications, planning",18
Information Resource Management (IRM),male,GS-10,   Edwin Nesslein,"Human Resources, email, graphics, Portuguese, Budget, Operations, IT",15
Overseas Buildings Operations (OBO),female,N/A,Lacey Apana,"portuguese, Communications, Government, Engineering, social media, Design, Excel, budget, management, editing",16
Global Engagement Center(GEC),male,N/A,Alexander Hendrickson,human resources,19
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Staci Decaro,"Editing, Management, Data Analysis, Design, Spanish, Economics, Network Security, IT, Leadership, Disaster Response, planning, Graphics",16
Oceans and International Environmental and Scientific Affairs(OES),female,FS-5,Diane Lee,"budget, Portuguese, Management, Tourism, Marketing, outlook, Human Resources, German, Administration, Finance, Data Analysis, Cloud Computing",21
Chief Information Officer (CIO),female,GS-15,Catherine Burdick    ,"Budget, Economics, Management, Visualization, planning, Email, Research, Social Media, Disease Response, Hydrology, Healthcare",14
Global Engagement Center(GEC),female,SFS-3,Guadalupe Mcfaddin    ,Economics,24
Global Engagement Center(GEC),female,FS-5,   Cheryl Edwards,"Web Development, Foreign Policy, planning, leadership, hydrology, Training",11
Mission to the United Nations (USUN),female,GS-11,Delores Parry,"Research, Portuguese, management, Finance, Interagency, Editing, Data Analysis, marketing, Chinese, Design, Healthcare, budget",11
Public Affairs (PA),female,FS 9,Katherine Fritz,"economics, Education, Disease Response, Leadership, Finance, Data Analysis, budget, Outlook, Powerpoint, planning",1
Near Eastern Affairs (NEA),male,FS9,     Walter Johnson     ,"planning, Budget, Healthcare, Social Media, Spanish, Visualization",21
Intelligence and Research (INR),female,N/A, Myra Price,"Climatology, Engineering, Visualization, Interagency, chinese",17
Diplomatic Security (DS),male,FS-8,Max Tomlinson,"Portuguese, tourism, Climatology, Economics, Training, Cloud Computing, Budget",23
African Affairs (AF),male,FS-2,  Marvin Clark,"Human Resources, Administration, Powerpoint, Climatology, Leadership, IT, Spanish, Healthcare",2
Intelligence and Research (INR),female,N/A,Angela Headd,Graphics,13
Executive Secretariat (S/ES),female,N/A,Kelly Deville,"communications, Administration, Foreign Policy, Marketing",4
"Management Policy, Rightsizing and Innovation (PRI)",male,GS-10,Dennis Hampton,,9
Foreign Service Institute (FSI),female,N/A,  Deborah Spencer,"Education, Cloud Computing",1
Global Criminal Justice (GCJ),female,N/A,     Maxine Kneser,"Administration, Powerpoint, Research, Excel, Training, Human Resources, Spanish, Outlook, Communications, Email, writing",3
Global Women's Issues (S/GWI),male,FS-7,Charles Demartino,"Economics, budget, Education, Network Security, Communications, Hydrology, Marketing, Email, SEO",7
International Organization Affairs (IO),male,GS-8,Joseph Thomas    ,"SEO, Disaster Response, Powerpoint",24
Foreign Assistance (F),female,FS-4,    Milagros Anglin,"disease response, Writing, Web Development, Data Analysis, Communications, german, Economics, sharepoint, Graphics, Editing, foreign policy, Training",18
Global AIDS Coordinator (S/GAC),female,N/A,  Emma Monroe,"outlook, Editing, Economics, Healthcare, Portuguese, chinese, Web Development, Government",8
Information Resource Management (IRM),female,N/A,Pamela Harmon     ,"Marketing, Editing, management, Hydrology, Powerpoint, Human Resources, Planning, Portuguese",18
Educational and Cultural Affairs (ECA),female,FS-1,Sabrina Wilson,"Spanish, Network Security, Sharepoint, Finance, Engineering, German, French",10
Science & Technology Adviser (STAS),male,GS-14,John Greenlee     ,"design, Portuguese, Email, Marketing, budget",13
Public Affairs (PA),female,GS-9,Cathy Marks    ,Disaster Response,22
Foreign Assistance (F),female,GS-13,Roxie Hatch    ,"Government, Web Development, writing, Management, climatology, communications, Email",25
Political-Military Affairs (PM),female,GS-13,    Marie Compton,"Research, Portuguese, Finance, Communications, Social Media, web development, Writing, spanish",11
"Population, Refugees, and Migration (PRM)",male,N/A,Curtis Manteca,"Government, Human Resources, Japanese, Email, Communications, spanish, Outlook, german, Editing",5
Global Criminal Justice (GCJ),male,FS 6, Jacob Inda,"Outlook, Economics, spanish",8
"Management Policy, Rightsizing and Innovation (PRI)",male,GS 13,Reffitt,"Climatology, IT, German",20
Information Resource Management (IRM),male,N/A,Joseph Ryan,"French, cloud computing, Editing, Leadership",25
Global Women's Issues (S/GWI),male,FS-4,William Ewald    ,"Portuguese, Design, Human Resources, Foreign Policy",20
Chief Information Officer (CIO),male,FS-8,Douglas Butler,"Healthcare, Editing, finance, Tourism, Japanese",4
Executive Secretariat (S/ES),male,GS-15,  Lucas Mcniell   ,"Administration, Japanese, Planning, Research, Chinese, Network Security, German, Hydrology, Writing, Visualization, french, Government",2
Medical Services (MED),male,FS-7,Charles Catapano,"Disease Response, SEO, Graphics",11
Global Youth Issues (GYI),female,N/A,Norma Cardenas,disease response,21
Economic and Business Affairs (EB),female,FS-4,   Helga Schroeder  ,"Hydrology, training, graphics, Writing, climatology, powerpoint, administration",3
International Information Programs (IIP),male,FS-7,Larry Gillett,"Human Resources, Web Development, Interagency",2
Executive Secretariat (S/ES),male,FS-1,William Hansen,"Economics, Powerpoint, disease response, Editing, German, Finance",15
Public Affairs (PA),female,FS-1,   Felicia Bubar ,"Management, Operations, Data Analysis, Climatology, graphics, Research, Disease Response, IT, Marketing, Human Resources, Foreign Policy, network security",1
African Affairs (AF),female,GS-8, Charlotte Howland   ,"Data Analysis, French, Climatology, Writing, Leadership, network security",10
South and Central Asian Affairs (SCA),male,FS-7,  Kenneth Rivera   ,"Visualization, Operations, it, Powerpoint, Disease Response, SEO, Network Security",2
Global Engagement Center(GEC),female,GS-8,     Lillian Reed,"Editing, Design, web development, Disaster Response, Cloud Computing, Administration, Engineering, economics, Government, Sharepoint, Portuguese, Visualization",19
Quadrennial Diplomacy and Development Review (QDDR),male,FS-9, Darrin Tijerina   ,"Email, Healthcare, Finance, Marketing, Graphics, web development, Design, disease response, Management, Government",11
Comptroller and Global Financial Services (CGFS),male,SES-3,Thompson,Network Security,25
East Asian and Pacific Affairs (EAP),female,FS 4,Rina Lavigne,"Training, administration, SEO, Social Media, Research",12
Inspector General (OIG),male,N/A,Jose Maier,"healthcare, Research, Economics, Spanish",6
Diplomatic Security (DS),female,GS-7,Louise Vieira ,"Foreign Policy, Sharepoint, Administration, Planning, research, Training, German, Design, cloud computing, operations, French, Graphics",14
Global Women's Issues (S/GWI),female,FS-4,   Linette Plank,"editing, Leadership, government, data analysis, Web Development, spanish, network security, Excel, Disease Response",25
Global AIDS Coordinator (S/GAC),male,FS-9,     Rodney Hudspeth,"climatology, Training, powerpoint, leadership, Social Media, email",8
Educational and Cultural Affairs (ECA),female,N/A,Kathryn Ruch  ,,1
Global Women's Issues (S/GWI),female,FS-1,  Janelle Butler,,5
Allowances (A/OPR/ALS),male,GS-14,  Dillon Scott     ,"Social Media, Human Resources, communications, German, Design, Hydrology, Network Security, Email, disaster response",11
Budget and Planning (BP),female,FS-3, Dorothy Jardell,"cloud computing, data analysis, Disease Response, Management, japanese, SEO, Powerpoint, leadership, research, Climatology",6
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-8,Inez Greco,"Writing, Cloud Computing, Visualization, German, Human Resources, Spanish, Government, interagency, Disaster Response, Management, Email, Communications",25
Chief Information Officer (CIO),male,N/A,David Vizcarra,"training, design, Finance, research, Economics, Budget, SEO",23
Medical Services (MED),male,GS-8,William Eversole  ,"Email, Operations",16
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Victor Richardson,"Operations, Editing, French, finance",5
Policy Planning Staff (S/P),male,GS-8,Ramon Freeman  ,"Outlook, french, Communications, Design, Healthcare, Hydrology, Spanish, Data Analysis, Training, Climatology, German, Graphics",11
Global AIDS Coordinator (S/GAC),female,GS-14,Gina Sandoval,"Planning, seo, Budget, disaster response, French, powerpoint, Social Media, Operations",19
East Asian and Pacific Affairs (EAP),male,SFS-4,Steven Dias,"german, portuguese, Climatology, Design, Interagency, Tourism",18
Policy Planning Staff (S/P),male,GS-13,John Varillas    ,"Sharepoint, Leadership, Graphics, SEO, Finance, foreign policy",3
Executive Secretariat (S/ES),female,N/A,Melissa Gookin,,8
Protocol (S/CPR),male,N/A,Wiley,"Powerpoint, Portuguese, it, Spanish, education, design, japanese, Writing",25
Counterterrorism (CT),male,N/A,   James Perez,"Network Security, german, Spanish, Design, Administration, Economics, engineering, education, disease response",21
Comptroller and Global Financial Services (CGFS),female,FS-2,Agnes Puffer,"Training, Foreign Policy, Graphics, Human Resources, Writing, Finance, Outlook, disease response, Planning, German, economics, Editing",6
Policy Planning Staff (S/P),female,FS-3,Trudy Clemans,"chinese, email, planning, Japanese, Management, Portuguese, Network Security",5
Global Criminal Justice (GCJ),female,GS-8,Cynthia Evans ,"Social Media, SEO, Writing, Disease Response, Hydrology, Tourism, Sharepoint, Interagency, Disaster Response, Visualization",6
Inspector General (OIG),female,FS-8, Blanche Volpe,government,24
Intelligence and Research (INR),male,N/A,Robert Wheeler,"Government, human resources, IT, Graphics, Interagency, French, Finance, Research",6
African Affairs (AF),female,GS 12,Laura Troutman,"writing, Research, marketing, Engineering, Management, Training, sharepoint, web development, spanish",11
Global Youth Issues (GYI),male,GS-15,Joseph Middaugh,"German, Engineering, SEO, Healthcare, visualization",13
Legislative Affairs (H),female,FS 5,   Martha Isom,"finance, Research, social media",9
European and Eurasian Affairs (EUR),female,GS-9,Angelina Cancilla,"Government, Writing, IT, budget, Disaster Response, Education, Editing, engineering, Chinese",6
Legal Adviser (L),male,SFS-5,James Lizarraga,"Hydrology, outlook, Editing",23
International Security and Nonproliferation (ISN),male,GS 15,Shaw,"Tourism, Disease Response, Training, email, Web Development, Planning, Writing, marketing, Communications, Powerpoint",7
Global AIDS Coordinator (S/GAC),male,FS-5,Gregory Urreta,"Human Resources, email",22
Inspector General (OIG),female,GS-15,Esther Anderson,"Design, Disease Response, Finance, interagency, Visualization, Tourism, marketing, Planning, SEO, Graphics, data analysis",12
Economic and Business Affairs (EB),female,GS7,Gonzalez   ,"Design, Government, Sharepoint, portuguese, Operations, Disaster Response, Management, Spanish, Education, Social Media, email",9
Consular Affairs (CA),female,FS 5,Juanita Ramirez ,"engineering, Communications, Human Resources, Portuguese, marketing",15
Oceans and International Environmental and Scientific Affairs(OES),male,FS-6,Richard Foster     ,,12
Legal Adviser (L),male,GS-15,Glenn Barnes    ,"communications, Healthcare, Interagency",6
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,GS-12,  Kathryn Lowenstein    ,"Education, Management",10
South and Central Asian Affairs (SCA),female,FS-6,Edith Rust,,1
Quadrennial Diplomacy and Development Review (QDDR),male,N/A,Keith Hendrix,"Tourism, Climatology",7
Global Women's Issues (S/GWI),male,N/A,Matthew Altieri    ,"Writing, Hydrology, spanish, Editing, Finance, Education, Email",3
Administration (A),female,GS-12, Dianna Wagner ,"Finance, human resources, disaster response",5
Intelligence and Research (INR),female,FS-6,   Eliana Madsen ,"management, Cloud Computing, Sharepoint, Excel, Administration, portuguese, Budget, German, outlook, Editing, Web Development",9
European and Eurasian Affairs (EUR),male,GS-11,Mark Holland,"Portuguese, Healthcare, cloud computing, engineering, Disaster Response, Planning, Leadership, Communications, budget",24
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,N/A,Julie Ruley,"Disaster Response, Research, Economics, Network Security, chinese, Powerpoint, Data Analysis, Human Resources, Administration, design, Budget, IT",11
International Organization Affairs (IO),female,N/A,Lisa Hopson,"Training, Design, Education, graphics, Japanese, Leadership, Network Security, Email",19
Medical Services (MED),female,GS-12,   Maxine Ward,"Tourism, social media, Visualization, budget, finance",4
Oceans and International Environmental and Scientific Affairs(OES),male,GS 13,    Eugene Morguson,"Planning, Graphics, Editing, social media, Engineering, economics",3
Foreign Assistance (F),male,FS-3,Terry Lawrence,"Budget, Visualization, Foreign Policy, Email, Outlook, Chinese",12
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-13,Scott Pocai,"Outlook, Operations, hydrology, Network Security, Planning, Spanish, communications, Editing, portuguese, Management, Sharepoint, visualization",25
Global Youth Issues (GYI),male,FS 5, Michael Rowold ,"Engineering, Outlook, Social Media, Disease Response, Spanish, Economics",25
Consular Affairs (CA),female,GS-8,Cornelia Bagley  ,"Email, climatology, Leadership, Spanish, Excel",14
Public Affairs (PA),male,FS-3,Joseph Myers,"IT, Climatology, Tourism, marketing, chinese",25
International Organization Affairs (IO),male,N/A,     Lucas Erickson  ,"Powerpoint, Marketing, Interagency, Climatology, Editing, Training",15
Counterterrorism (CT),male,N/A,Jason Anthony     ,"Social Media, Economics, Management",17
Political-Military Affairs (PM),male,FS-3,Dennis Malone   ,"Email, Excel, Research, Spanish, powerpoint, Human Resources, Training, operations",12
Educational and Cultural Affairs (ECA),male,GS15,Howard Spence,"Budget, Hydrology, Marketing, Finance, Disaster Response, administration",21
Legislative Affairs (H),male,FS 9,George Becton   ,,7
Public Affairs (PA),female,GS-11,Emily Wellman,"Economics, Data Analysis, operations, communications, Government, Planning, Portuguese",7
Legal Adviser (L),male,FS-7,     Edward Williams    ,"Marketing, powerpoint, SEO, Climatology, spanish, Cloud Computing, Leadership, communications",13
Trafficking in Persons (TIP),female,N/A,Jennifer Robinson,"Editing, training, leadership, Design, disease response",2
Global Youth Issues (GYI),female,N/A,Sheridan Gandy,"Graphics, French, German, Portuguese, Planning, SEO, IT, visualization, marketing, Chinese, Healthcare",18
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Jennifer Jimenez ,,25
Educational and Cultural Affairs (ECA),female,N/A,   Anderson   ,"it, Government, cloud computing, Human Resources",12
Public Affairs (PA),female,FS-9,Susan Walker,"Management, Design, chinese, Engineering, Training, Disaster Response, IT, Government, Finance, Japanese, Human Resources",8
International Organization Affairs (IO),male,N/A,Farmer,"Email, Japanese, Data Analysis, Web Development, Chinese, Tourism, Foreign Policy",12
Economic and Business Affairs (EB),male,GS-10,William Pullum ,"Budget, Management, email, outlook",19
Foreign Service Institute (FSI),male,FS9,Leo Lopez,"Government, research, IT, German, Interagency, Administration, training, Web Development, SEO, Management, climatology, Finance",10
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-8, Nicole Kitchel    ,"Email, education, excel, Marketing, Research, communications, budget, Administration, Finance, Outlook, Engineering, Network Security",2
Budget and Planning (BP),female,FS 7,Hayes ,"Tourism, training",4
Global Engagement Center(GEC),male,FS-9,David Fleming,"Disease Response, Japanese, Human Resources, Government, Web Development, Economics, Graphics, sharepoint, german",11
Inspector General (OIG),female,FS7,Jane Oconnell,"Leadership, budget, Hydrology, healthcare, Interagency",7
Foreign Assistance (F),male,FS-8,Joel Robinson   ,Visualization,7
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Amber Kama     ,"Chinese, Visualization, communications, Portuguese, Powerpoint, Network Security, Planning, Data Analysis",21
Global Engagement Center(GEC),male,FS-8, Richard Humphries,"Economics, Powerpoint, Chinese, Foreign Policy, Disaster Response",12
Mission to the United Nations (USUN),female,FS-8, Nancy Grau,"Hydrology, Cloud Computing",19
Intelligence and Research (INR),male,GS-10,     Theodore Pearson,"Network Security, communications, Social Media, Operations, Outlook",6
International Information Programs (IIP),female,N/A,    Caterina Piekarski  ,"IT, SEO, Data Analysis, Human Resources, outlook, Healthcare, Chinese, Graphics, Administration",13
Allowances (A/OPR/ALS),male,N/A,Jeremy Segarra,,21
Oceans and International Environmental and Scientific Affairs(OES),female,FS-1,Betty Nelsen,"Email, Communications, social media, Writing, hydrology, Visualization, Operations, Editing, interagency, Spanish",9
International Information Programs (IIP),female,FS-1,Margaret Tozier   ,"Engineering, Tourism, portuguese, seo, Social Media, Email",15
Human Resources (DGHR),female,N/A,    Dawson ,"Disaster Response, Social Media",1
Foreign Missions (OFM),female,FS-3,     Jacqueline Fulks,"Leadership, finance, Communications",25
Protocol (S/CPR),male,N/A, Fidel Devault,"Marketing, Design, education, disaster response, Sharepoint, Social Media, chinese",18
Economic and Business Affairs (EB),male,N/A, William Lee,"Foreign Policy, Portuguese, Spanish, Excel, it",16
"Arms Control, Verification and Compliance (AVC)",male,GS7,Joseph Holmes,"Powerpoint, Excel",14
Information Resource Management (IRM),female,FS-8,Bernice Oliver,"Engineering, Disease Response, Budget, German, Interagency, Japanese, Administration, SEO, disaster response, Marketing",7
Budget and Planning (BP),female,FS5,Amanda Copeland,"visualization, Administration, Research, Foreign Policy, Marketing, Portuguese, Training, Email, education",3
Human Resources (DGHR),female,FS-1,  Joann Small,"Outlook, Email, Foreign Policy, Finance, Climatology, Data Analysis, Social Media, Network Security, administration, it, Disaster Response",10
Intelligence and Research (INR),female,FS-8,Mattie Mallari   ,"Chinese, Disaster Response",2
Conflict and Stabilization Operations (CSO),male,SFS-4,Alex Potter,"Sharepoint, Network Security, Portuguese",22
Overseas Buildings Operations (OBO),male,FS5,Bernard Craig  ,"Marketing, Social Media, SEO, it, Engineering",14
Foreign Service Institute (FSI),male,FS-1,     David Delacruz,"Interagency, Graphics, planning",24
Oceans and International Environmental and Scientific Affairs(OES),female,FS-5,     Kathleen Abrams,"Government, Graphics, engineering",12
Quadrennial Diplomacy and Development Review (QDDR),male,FS2,Ezra Allen,"leadership, Budget, Healthcare, Graphics",18
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,N/A,Leonard Taylor,"Administration, Visualization, Editing, Chinese",6
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Haines  ,"Cloud Computing, Social Media, Excel, SEO",9
Global Criminal Justice (GCJ),female,N/A,Corinna Davis,"German, Engineering",1
Trafficking in Persons (TIP),female,GS-9,Carol Haar,"Healthcare, seo, cloud computing, German",24
Public Affairs (PA),male,GS 7,Henry Barker,"IT, marketing, Data Analysis",1
Educational and Cultural Affairs (ECA),male,GS-12,Howard Garraway,"Foreign Policy, Budget, Education, Interagency, Spanish, Government, Communications, Chinese, Disaster Response, SEO, tourism",19
Legislative Affairs (H),female,FS 1,Costa,"SEO, Leadership, Social Media, economics, Powerpoint, Human Resources, editing, Planning, Network Security, Interagency",4
Public Affairs (PA),male,GS 13,Nathan Hartley   ,,25
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,GS-11,    Brenda Perkins,"Japanese, Excel, German, Interagency, Disaster Response, Chinese, Design, Planning",25
Global AIDS Coordinator (S/GAC),male,N/A,    Christopher Sutphin,"Climatology, Government, human resources, outlook, Powerpoint, SEO, Finance",18
Oceans and International Environmental and Scientific Affairs(OES),male,FS-1,     Benjamin Siddoway,"Foreign Policy, SEO, disease response, Climatology, German, Editing, Spanish, Data Analysis, French, Economics",15
Medical Services (MED),female,FS5,Sharon Zamora,"Social Media, French, Design, research, Operations, German, Planning, Portuguese",18
Foreign Service Institute (FSI),male,FS5,    Ward,"Education, Cloud Computing, Data Analysis, spanish, Operations, Foreign Policy, SEO, Email, French, Climatology, Editing",6
Medical Services (MED),female,N/A,Nancy Savitch,"Engineering, healthcare, Administration, Research",1
Quadrennial Diplomacy and Development Review (QDDR),female,FS-1,  Knox ,"French, Tourism, Network Security, Data Analysis, German, Foreign Policy, Training",11
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Richard Collins,Spanish,6
Foreign Service Institute (FSI),male,GS-12,Michael Delacruz   ,economics,6
Inspector General (OIG),female,N/A,Judith Braun,"Email, education, Administration, powerpoint, Tourism, Japanese, visualization, web development, government",19
Conflict and Stabilization Operations (CSO),female,FS-2,Christine Mccraw,web development,24
South and Central Asian Affairs (SCA),male,N/A,James Gerber ,"hydrology, Portuguese, Spanish",13
Economic and Business Affairs (EB),male,FS-3,     John Salas,"Hydrology, Healthcare, operations",22
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-2,Williams  ,"Cloud Computing, disaster response, Hydrology, Interagency, Web Development, Disease Response",23
Economic and Business Affairs (EB),male,GS-10,     Granados,"german, Administration, sharepoint, Outlook, Web Development, climatology, French, Social Media, research",6
International Narcotics and Law Enforcement Affairs (INL),male,GS-13,Philip Waldrop,"Visualization, Cloud Computing, Social Media, Portuguese, Network Security, Graphics",21
Oceans and International Environmental and Scientific Affairs(OES),female,FS-9,    Devon Stallings,"Budget, Powerpoint, Visualization, Research, Marketing, German, disease response",6
Trafficking in Persons (TIP),male,GS-11,  Pat Cheng,"Hydrology, Visualization, Network Security",21
International Narcotics and Law Enforcement Affairs (INL),male,GS-15,    Arthur Lundberg,"interagency, research",13
International Security and Nonproliferation (ISN),female,N/A,Elizabeth Thurman,"Network Security, Social Media, Human Resources, Communications, Japanese, Planning, marketing, Training, Outlook",9
International Narcotics and Law Enforcement Affairs (INL),male,N/A, Steven Hurd  ,Cloud Computing,24
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,GS-12,Margie Stoeffler,"Government, SEO, Leadership, editing, finance, Communications, German",4
Medical Services (MED),male,N/A,Walter Garza,"Interagency, Education, Excel, training, Writing, Engineering, IT, Network Security, Planning",17
Budget and Planning (BP),male,GS-8,    Andres Engelke,"disease response, Education, Healthcare, email, Economics, Climatology, Visualization, Disaster Response",22
Global Women's Issues (S/GWI),female,FS-3,Barbara Isabell     ,"budget, Visualization, Social Media, Government, Disease Response, seo, marketing, Economics, Cloud Computing, Network Security, Healthcare",25
